a b c d e f g final.parent
Scaffold174_2899296 L1 SCFLD174 2899296 Scaffold174 Scaffold174_2899296 0 0 abaa
Scaffold174_2907000 L1 SCFLD174 2907000 Scaffold174 Scaffold174_2907000 0 0 abaa
Scaffold174_2938449 L1 SCFLD174 2938449 Scaffold174 Scaffold174_2938449 0 0 abaa
Scaffold174_3005024 L1 SCFLD174 3005024 Scaffold174 Scaffold174_3005024 0 0 abaa
Scaffold174_307900 L1 SCFLD174 307900 Scaffold174 Scaffold174_307900 0 0 abaa
Scaffold174_3113291 L1 SCFLD174 3113291 Scaffold174 Scaffold174_3113291 0 0 abbb
Scaffold174_3194252 L1 SCFLD174 3194252 Scaffold174 Scaffold174_3194252 1 1 abbb
Scaffold174_3318148 L1 SCFLD174 3318148 Scaffold174 Scaffold174_3318148 0 0 abaa
Scaffold174_3342784 L1 SCFLD174 3342784 Scaffold174 Scaffold174_3342784 0 0 abaa
Scaffold174_3477071 L1 SCFLD174 3477071 Scaffold174 Scaffold174_3477071 0 0 abaa
Scaffold174_3484066 L1 SCFLD174 3484066 Scaffold174 Scaffold174_3484066 0 0 abaa
Scaffold174_3658553 L1 SCFLD174 3658553 Scaffold174 Scaffold174_3658553 0 0 abaa
Scaffold174_3740054 L1 SCFLD174 3740054 Scaffold174 Scaffold174_3740054 1 0 abbb
Scaffold174_3751642 L1 SCFLD174 3751642 Scaffold174 Scaffold174_3751642 0 0 abaa
Scaffold174_3831639 L1 SCFLD174 3831639 Scaffold174 Scaffold174_3831639 0 0 abaa
Scaffold174_3838414 L1 SCFLD174 3838414 Scaffold174 Scaffold174_3838414 0 0 abaa
Scaffold174_3914270 L1 SCFLD174 3914270 Scaffold174 Scaffold174_3914270 1 1 abab
Scaffold174_3914289 L1 SCFLD174 3914289 Scaffold174 Scaffold174_3914289 0 0 abaa
Scaffold174_3975347 L1 SCFLD174 3975347 Scaffold174 Scaffold174_3975347 0 0 abab
Scaffold174_3975354 L1 SCFLD174 3975354 Scaffold174 Scaffold174_3975354 0 0 abaa
Scaffold174_398781 L1 SCFLD174 398781 Scaffold174 Scaffold174_398781 0 0 abaa
Scaffold174_42710 L1 SCFLD174 42710 Scaffold174 Scaffold174_42710 0 0 abaa
Scaffold174_433288 L1 SCFLD174 433288 Scaffold174 Scaffold174_433288 0 0 abaa
Scaffold174_522184 L1 SCFLD174 522184 Scaffold174 Scaffold174_522184 0 0 abaa
Scaffold174_522218 L1 SCFLD174 522218 Scaffold174 Scaffold174_522218 1 1 aaab
Scaffold174_54963 L1 SCFLD174 54963 Scaffold174 Scaffold174_54963 0 0 abaa
Scaffold174_553628 L1 SCFLD174 553628 Scaffold174 Scaffold174_553628 0 0 abaa
Scaffold174_569640 L1 SCFLD174 569640 Scaffold174 Scaffold174_569640 0 0 abaa
Scaffold174_628805 L1 SCFLD174 628805 Scaffold174 Scaffold174_628805 0 0 abaa
Scaffold174_762905 L1 SCFLD174 762905 Scaffold174 Scaffold174_762905 0 0 abaa
Scaffold174_789768 L1 SCFLD174 789768 Scaffold174 Scaffold174_789768 0 0 abaa
Scaffold174_844476 L1 SCFLD174 844476 Scaffold174 Scaffold174_844476 0 0 abaa
Scaffold174_979566 L1 SCFLD174 979566 Scaffold174 Scaffold174_979566 0 0 abaa
Scaffold313_183064 L1 SCFLD313 183064 Scaffold313 Scaffold313_183064 0 0 abaa
Scaffold313_192131 L1 SCFLD313 192131 Scaffold313 Scaffold313_192131 1 1 aaab
Scaffold313_21108 L1 SCFLD313 21108 Scaffold313 Scaffold313_21108 0 0 abaa
Scaffold313_222742 L1 SCFLD313 222742 Scaffold313 Scaffold313_222742 1 1 abab
Scaffold313_222856 L1 SCFLD313 222856 Scaffold313 Scaffold313_222856 0 0 abaa
Scaffold313_252701 L1 SCFLD313 252701 Scaffold313 Scaffold313_252701 0 0 abaa
Scaffold313_265466 L1 SCFLD313 265466 Scaffold313 Scaffold313_265466 0 0 abaa
Scaffold313_265621 L1 SCFLD313 265621 Scaffold313 Scaffold313_265621 0 0 abab
Scaffold313_312046 L1 SCFLD313 312046 Scaffold313 Scaffold313_312046 1 1 abbb
Scaffold313_316364 L1 SCFLD313 316364 Scaffold313 Scaffold313_316364 0 0 abaa
Scaffold313_53780 L1 SCFLD313 53780 Scaffold313 Scaffold313_53780 0 0 abaa
Scaffold468_1018694 L1 SCFLD468 1018694 Scaffold468 Scaffold468_1018694 1 1 aaab
Scaffold468_1018711 L1 SCFLD468 1018711 Scaffold468 Scaffold468_1018711 1 0 abaa
Scaffold468_105163 L1 SCFLD468 105163 Scaffold468 Scaffold468_105163 0 0 abaa
Scaffold468_1146989 L1 SCFLD468 1146989 Scaffold468 Scaffold468_1146989 0 0 abaa
Scaffold468_1147113 L1 SCFLD468 1147113 Scaffold468 Scaffold468_1147113 0 0 abab
Scaffold468_1215073 L1 SCFLD468 1215073 Scaffold468 Scaffold468_1215073 0 0 abaa
Scaffold468_1215083 L1 SCFLD468 1215083 Scaffold468 Scaffold468_1215083 0 0 abab
Scaffold468_1545476 L1 SCFLD468 1545476 Scaffold468 Scaffold468_1545476 0 0 abaa
Scaffold468_1878835 L1 SCFLD468 1878835 Scaffold468 Scaffold468_1878835 0 0 abaa
Scaffold468_1949678 L1 SCFLD468 1949678 Scaffold468 Scaffold468_1949678 1 0 aaab
Scaffold468_1970758 L1 SCFLD468 1970758 Scaffold468 Scaffold468_1970758 0 0 abaa
Scaffold468_2006997 L1 SCFLD468 2006997 Scaffold468 Scaffold468_2006997 1 1 abbb
Scaffold468_2036723 L1 SCFLD468 2036723 Scaffold468 Scaffold468_2036723 0 0 abaa
Scaffold468_2090259 L1 SCFLD468 2090259 Scaffold468 Scaffold468_2090259 0 0 abaa
Scaffold468_2206605 L1 SCFLD468 2206605 Scaffold468 Scaffold468_2206605 0 0 abaa
Scaffold468_224964 L1 SCFLD468 224964 Scaffold468 Scaffold468_224964 0 0 abaa
Scaffold468_2338232 L1 SCFLD468 2338232 Scaffold468 Scaffold468_2338232 0 0 abaa
Scaffold468_2560707 L1 SCFLD468 2560707 Scaffold468 Scaffold468_2560707 1 1 abab
Scaffold468_2560868 L1 SCFLD468 2560868 Scaffold468 Scaffold468_2560868 0 0 aaab
Scaffold468_275654 L1 SCFLD468 275654 Scaffold468 Scaffold468_275654 0 0 abaa
Scaffold468_2952493 L1 SCFLD468 2952493 Scaffold468 Scaffold468_2952493 1 1 bbba
Scaffold468_2981814 L1 SCFLD468 2981814 Scaffold468 Scaffold468_2981814 0 0 bbba
Scaffold468_2981924 L1 SCFLD468 2981924 Scaffold468 Scaffold468_2981924 0 0 abaa
Scaffold468_2996390 L1 SCFLD468 2996390 Scaffold468 Scaffold468_2996390 0 0 abaa
Scaffold468_3055817 L1 SCFLD468 3055817 Scaffold468 Scaffold468_3055817 0 0 abaa
Scaffold468_3268354 L1 SCFLD468 3268354 Scaffold468 Scaffold468_3268354 0 0 abaa
Scaffold468_3293477 L1 SCFLD468 3293477 Scaffold468 Scaffold468_3293477 0 0 abaa
Scaffold468_3307916 L1 SCFLD468 3307916 Scaffold468 Scaffold468_3307916 0 0 abaa
Scaffold468_3322349 L1 SCFLD468 3322349 Scaffold468 Scaffold468_3322349 0 0 abaa
Scaffold468_3344651 L1 SCFLD468 3344651 Scaffold468 Scaffold468_3344651 1 1 abaa
Scaffold468_3365678 L1 SCFLD468 3365678 Scaffold468 Scaffold468_3365678 0 0 abaa
Scaffold468_3372961 L1 SCFLD468 3372961 Scaffold468 Scaffold468_3372961 0 0 abaa
Scaffold468_3434007 L1 SCFLD468 3434007 Scaffold468 Scaffold468_3434007 0 0 abaa
Scaffold468_3468794 L1 SCFLD468 3468794 Scaffold468 Scaffold468_3468794 1 0 abab
Scaffold468_3468800 L1 SCFLD468 3468800 Scaffold468 Scaffold468_3468800 0 0 abaa
Scaffold468_3499555 L1 SCFLD468 3499555 Scaffold468 Scaffold468_3499555 0 0 abaa
Scaffold468_3499563 L1 SCFLD468 3499563 Scaffold468 Scaffold468_3499563 0 0 aaab
Scaffold468_3523121 L1 SCFLD468 3523121 Scaffold468 Scaffold468_3523121 0 0 abaa
Scaffold468_3523198 L1 SCFLD468 3523198 Scaffold468 Scaffold468_3523198 1 0 aaab
Scaffold468_373299 L1 SCFLD468 373299 Scaffold468 Scaffold468_373299 0 0 abaa
Scaffold468_373361 L1 SCFLD468 373361 Scaffold468 Scaffold468_373361 1 1 abab
Scaffold468_387196 L1 SCFLD468 387196 Scaffold468 Scaffold468_387196 1 1 abaa
Scaffold468_862440 L1 SCFLD468 862440 Scaffold468 Scaffold468_862440 0 0 abaa
Scaffold468_966264 L1 SCFLD468 966264 Scaffold468 Scaffold468_966264 1 0 abab
Scaffold9859_1054688 L1 SCFLD9859 1054688 Scaffold9859 Scaffold9859_1054688 0 0 aaab
Scaffold9859_1054690 L1 SCFLD9859 1054690 Scaffold9859 Scaffold9859_1054690 1 0 abaa
Scaffold9859_1123286 L1 SCFLD9859 1123286 Scaffold9859 Scaffold9859_1123286 0 0 aaab
Scaffold9859_1271502 L1 SCFLD9859 1271502 Scaffold9859 Scaffold9859_1271502 1 1 aaab
Scaffold9859_1707823 L1 SCFLD9859 1707823 Scaffold9859 Scaffold9859_1707823 0 0 abaa
Scaffold9859_1891043 L1 SCFLD9859 1891043 Scaffold9859 Scaffold9859_1891043 1 0 abab
Scaffold9859_1891153 L1 SCFLD9859 1891153 Scaffold9859 Scaffold9859_1891153 0 0 abaa
Scaffold9859_1970931 L1 SCFLD9859 1970931 Scaffold9859 Scaffold9859_1970931 0 0 aaab
Scaffold9859_2115961 L1 SCFLD9859 2115961 Scaffold9859 Scaffold9859_2115961 0 0 abbb
Scaffold9859_2152319 L1 SCFLD9859 2152319 Scaffold9859 Scaffold9859_2152319 0 0 abaa
Scaffold9859_2183769 L1 SCFLD9859 2183769 Scaffold9859 Scaffold9859_2183769 0 0 abaa
Scaffold9859_2324521 L1 SCFLD9859 2324521 Scaffold9859 Scaffold9859_2324521 0 0 abaa
Scaffold9859_2324552 L1 SCFLD9859 2324552 Scaffold9859 Scaffold9859_2324552 1 1 aaab
Scaffold9859_2352557 L1 SCFLD9859 2352557 Scaffold9859 Scaffold9859_2352557 0 0 aaab
Scaffold9859_2442141 L1 SCFLD9859 2442141 Scaffold9859 Scaffold9859_2442141 1 1 abbb
Scaffold9859_2507372 L1 SCFLD9859 2507372 Scaffold9859 Scaffold9859_2507372 0 0 abaa
Scaffold9859_2545098 L1 SCFLD9859 2545098 Scaffold9859 Scaffold9859_2545098 0 0 abbb
Scaffold9859_2702289 L1 SCFLD9859 2702289 Scaffold9859 Scaffold9859_2702289 0 0 abaa
Scaffold9859_2752211 L1 SCFLD9859 2752211 Scaffold9859 Scaffold9859_2752211 1 1 abab
Scaffold9859_3228694 L1 SCFLD9859 3228694 Scaffold9859 Scaffold9859_3228694 1 0 abaa
Scaffold9859_409540 L1 SCFLD9859 409540 Scaffold9859 Scaffold9859_409540 1 0 abaa
Scaffold9859_997137 L1 SCFLD9859 997137 Scaffold9859 Scaffold9859_997137 1 1 abab
Scaffold9859_997280 L1 SCFLD9859 997280 Scaffold9859 Scaffold9859_997280 0 0 aaab
Scaffold9919_1024515 L1 SCFLD9919 1024515 Scaffold9919 Scaffold9919_1024515 0 0 abab
Scaffold9919_1079573 L1 SCFLD9919 1079573 Scaffold9919 Scaffold9919_1079573 0 0 abaa
Scaffold9919_1110380 L1 SCFLD9919 1110380 Scaffold9919 Scaffold9919_1110380 0 0 abab
Scaffold9919_1115531 L1 SCFLD9919 1115531 Scaffold9919 Scaffold9919_1115531 0 0 aaab
Scaffold9919_1412353 L1 SCFLD9919 1412353 Scaffold9919 Scaffold9919_1412353 1 1 abaa
Scaffold9919_1500096 L1 SCFLD9919 1500096 Scaffold9919 Scaffold9919_1500096 0 0 abab
Scaffold9919_1525483 L1 SCFLD9919 1525483 Scaffold9919 Scaffold9919_1525483 0 0 abab
Scaffold9919_1585249 L1 SCFLD9919 1585249 Scaffold9919 Scaffold9919_1585249 1 1 bbba
Scaffold9919_1585263 L1 SCFLD9919 1585263 Scaffold9919 Scaffold9919_1585263 0 0 abaa
Scaffold9919_1680685 L1 SCFLD9919 1680685 Scaffold9919 Scaffold9919_1680685 1 1 abab
