"a" "b" "c" "d" "e"
"233" "L1" "SCFLD468" 3468800 "Scaffold468" "Scaffold468_3468800"
"234" "L1" "SCFLD468" 3499555 "Scaffold468" "Scaffold468_3499555"
"235" "L1" "SCFLD468" 3499563 "Scaffold468" "Scaffold468_3499563"
"236" "L1" "SCFLD468" 3523121 "Scaffold468" "Scaffold468_3523121"
"237" "L1" "SCFLD468" 3523198 "Scaffold468" "Scaffold468_3523198"
"238" "L1" "SCFLD468" 373299 "Scaffold468" "Scaffold468_373299"
"239" "L1" "SCFLD468" 373361 "Scaffold468" "Scaffold468_373361"
"240" "L1" "SCFLD468" 387196 "Scaffold468" "Scaffold468_387196"
"241" "L1" "SCFLD468" 862440 "Scaffold468" "Scaffold468_862440"
"242" "L1" "SCFLD468" 966264 "Scaffold468" "Scaffold468_966264"
"243" "L1" "SCFLD9859" 1054688 "Scaffold9859" "Scaffold9859_1054688"
"244" "L1" "SCFLD9859" 1054690 "Scaffold9859" "Scaffold9859_1054690"
"245" "L1" "SCFLD9859" 1123286 "Scaffold9859" "Scaffold9859_1123286"
"246" "L1" "SCFLD9859" 1271502 "Scaffold9859" "Scaffold9859_1271502"
"247" "L1" "SCFLD9859" 1707823 "Scaffold9859" "Scaffold9859_1707823"
"248" "L1" "SCFLD9859" 1891043 "Scaffold9859" "Scaffold9859_1891043"
"249" "L1" "SCFLD9859" 1891153 "Scaffold9859" "Scaffold9859_1891153"
"250" "L1" "SCFLD9859" 1970931 "Scaffold9859" "Scaffold9859_1970931"
"251" "L1" "SCFLD9859" 2115961 "Scaffold9859" "Scaffold9859_2115961"
"252" "L1" "SCFLD9859" 2152319 "Scaffold9859" "Scaffold9859_2152319"
"253" "L1" "SCFLD9859" 2183769 "Scaffold9859" "Scaffold9859_2183769"
"254" "L1" "SCFLD9859" 2324521 "Scaffold9859" "Scaffold9859_2324521"
"255" "L1" "SCFLD9859" 2324552 "Scaffold9859" "Scaffold9859_2324552"
"256" "L1" "SCFLD9859" 2352557 "Scaffold9859" "Scaffold9859_2352557"
"257" "L1" "SCFLD9859" 2442141 "Scaffold9859" "Scaffold9859_2442141"
"258" "L1" "SCFLD9859" 2507372 "Scaffold9859" "Scaffold9859_2507372"
"259" "L1" "SCFLD9859" 2545098 "Scaffold9859" "Scaffold9859_2545098"
"260" "L1" "SCFLD9859" 2702289 "Scaffold9859" "Scaffold9859_2702289"
"261" "L1" "SCFLD9859" 2752211 "Scaffold9859" "Scaffold9859_2752211"
"262" "L1" "SCFLD9859" 3228694 "Scaffold9859" "Scaffold9859_3228694"
"263" "L1" "SCFLD9859" 409540 "Scaffold9859" "Scaffold9859_409540"
"264" "L1" "SCFLD9859" 997137 "Scaffold9859" "Scaffold9859_997137"
"265" "L1" "SCFLD9859" 997280 "Scaffold9859" "Scaffold9859_997280"
"266" "L1" "SCFLD9919" 1024515 "Scaffold9919" "Scaffold9919_1024515"
"267" "L1" "SCFLD9919" 1079573 "Scaffold9919" "Scaffold9919_1079573"
"268" "L1" "SCFLD9919" 1110380 "Scaffold9919" "Scaffold9919_1110380"
"269" "L1" "SCFLD9919" 1115531 "Scaffold9919" "Scaffold9919_1115531"
"270" "L1" "SCFLD9919" 1412353 "Scaffold9919" "Scaffold9919_1412353"
"271" "L1" "SCFLD9919" 1500096 "Scaffold9919" "Scaffold9919_1500096"
"272" "L1" "SCFLD9919" 1525483 "Scaffold9919" "Scaffold9919_1525483"
"273" "L1" "SCFLD9919" 1585249 "Scaffold9919" "Scaffold9919_1585249"
"274" "L1" "SCFLD9919" 1585263 "Scaffold9919" "Scaffold9919_1585263"
"275" "L1" "SCFLD9919" 1680685 "Scaffold9919" "Scaffold9919_1680685"
"276" "L1" "SCFLD9919" 1840128 "Scaffold9919" "Scaffold9919_1840128"
"277" "L1" "SCFLD9919" 1875377 "Scaffold9919" "Scaffold9919_1875377"
"278" "L1" "SCFLD9919" 939685 "Scaffold9919" "Scaffold9919_939685"
"279" "L1" "SCFLD9919" 959571 "Scaffold9919" "Scaffold9919_959571"
"280" "L1" "SCFLD9924" 1074491 "Scaffold9924" "Scaffold9924_1074491"
"281" "L1" "SCFLD9924" 1088167 "Scaffold9924" "Scaffold9924_1088167"
"282" "L1" "SCFLD9924" 1090278 "Scaffold9924" "Scaffold9924_1090278"
"283" "L1" "SCFLD9924" 112938 "Scaffold9924" "Scaffold9924_112938"
"284" "L1" "SCFLD9924" 1151756 "Scaffold9924" "Scaffold9924_1151756"
"285" "L1" "SCFLD9924" 1382601 "Scaffold9924" "Scaffold9924_1382601"
"286" "L1" "SCFLD9924" 1382602 "Scaffold9924" "Scaffold9924_1382602"
"287" "L1" "SCFLD9924" 1472918 "Scaffold9924" "Scaffold9924_1472918"
"288" "L1" "SCFLD9924" 1472952 "Scaffold9924" "Scaffold9924_1472952"
"289" "L1" "SCFLD9924" 1472986 "Scaffold9924" "Scaffold9924_1472986"
"290" "L1" "SCFLD9924" 1477633 "Scaffold9924" "Scaffold9924_1477633"
"291" "L1" "SCFLD9924" 1548153 "Scaffold9924" "Scaffold9924_1548153"
"292" "L1" "SCFLD9924" 1548278 "Scaffold9924" "Scaffold9924_1548278"
"293" "L1" "SCFLD9924" 1560645 "Scaffold9924" "Scaffold9924_1560645"
"294" "L1" "SCFLD9924" 1560670 "Scaffold9924" "Scaffold9924_1560670"
"295" "L1" "SCFLD9924" 1569938 "Scaffold9924" "Scaffold9924_1569938"
"296" "L1" "SCFLD9924" 1582194 "Scaffold9924" "Scaffold9924_1582194"
"297" "L1" "SCFLD9924" 1604288 "Scaffold9924" "Scaffold9924_1604288"
"298" "L1" "SCFLD9924" 1739505 "Scaffold9924" "Scaffold9924_1739505"
"299" "L1" "SCFLD9924" 1938852 "Scaffold9924" "Scaffold9924_1938852"
"300" "L1" "SCFLD9924" 1989133 "Scaffold9924" "Scaffold9924_1989133"
"301" "L1" "SCFLD9924" 208932 "Scaffold9924" "Scaffold9924_208932"
"302" "L1" "SCFLD9924" 208965 "Scaffold9924" "Scaffold9924_208965"
"303" "L1" "SCFLD9924" 295483 "Scaffold9924" "Scaffold9924_295483"
"304" "L1" "SCFLD9924" 351902 "Scaffold9924" "Scaffold9924_351902"
"305" "L1" "SCFLD9924" 505209 "Scaffold9924" "Scaffold9924_505209"
"306" "L1" "SCFLD9924" 547711 "Scaffold9924" "Scaffold9924_547711"
"307" "L1" "SCFLD9924" 663890 "Scaffold9924" "Scaffold9924_663890"
"308" "L1" "SCFLD9924" 752220 "Scaffold9924" "Scaffold9924_752220"
"309" "L1" "SCFLD9924" 780285 "Scaffold9924" "Scaffold9924_780285"
"310" "L1" "SCFLD9924" 818612 "Scaffold9924" "Scaffold9924_818612"
"311" "L1" "SCFLD9924" 870280 "Scaffold9924" "Scaffold9924_870280"
"312" "L1" "SCFLD9924" 923250 "Scaffold9924" "Scaffold9924_923250"
"313" "L1" "SCFLD9924" 923267 "Scaffold9924" "Scaffold9924_923267"
"314" "L1" "SCFLD9924" 948014 "Scaffold9924" "Scaffold9924_948014"
"315" "L1" "SCFLD9924" 983504 "Scaffold9924" "Scaffold9924_983504"
"316" "L1" "SCFLD9978" 102251 "Scaffold9978" "Scaffold9978_102251"
"317" "L1" "SCFLD9978" 1157610 "Scaffold9978" "Scaffold9978_1157610"
"318" "L1" "SCFLD9978" 1305219 "Scaffold9978" "Scaffold9978_1305219"
"319" "L1" "SCFLD9978" 1321024 "Scaffold9978" "Scaffold9978_1321024"
"320" "L1" "SCFLD9978" 1321031 "Scaffold9978" "Scaffold9978_1321031"
"321" "L1" "SCFLD9978" 1344213 "Scaffold9978" "Scaffold9978_1344213"
"322" "L1" "SCFLD9978" 1365129 "Scaffold9978" "Scaffold9978_1365129"
"323" "L1" "SCFLD9978" 1443444 "Scaffold9978" "Scaffold9978_1443444"
"324" "L1" "SCFLD9978" 1450270 "Scaffold9978" "Scaffold9978_1450270"
"325" "L1" "SCFLD9978" 1549062 "Scaffold9978" "Scaffold9978_1549062"
"326" "L1" "SCFLD9978" 320740 "Scaffold9978" "Scaffold9978_320740"
"327" "L1" "SCFLD9978" 343137 "Scaffold9978" "Scaffold9978_343137"
"328" "L1" "SCFLD9978" 357084 "Scaffold9978" "Scaffold9978_357084"
"329" "L1" "SCFLD9978" 437189 "Scaffold9978" "Scaffold9978_437189"
"330" "L1" "SCFLD9978" 437228 "Scaffold9978" "Scaffold9978_437228"
"331" "L1" "SCFLD9978" 495742 "Scaffold9978" "Scaffold9978_495742"
"332" "L1" "SCFLD9978" 495801 "Scaffold9978" "Scaffold9978_495801"
"333" "L1" "SCFLD9978" 539095 "Scaffold9978" "Scaffold9978_539095"
"334" "L1" "SCFLD9978" 567567 "Scaffold9978" "Scaffold9978_567567"
"335" "L1" "SCFLD9978" 578521 "Scaffold9978" "Scaffold9978_578521"
"336" "L1" "SCFLD9978" 725634 "Scaffold9978" "Scaffold9978_725634"
